date,notes,points,teams,photos
13.10.2025,"без Ники и Крис, но с Дари и Калин; 7-мо място",2,16,photos/13-10-2025-group-photo-1.JPEG; photos/13-10-2025-group-photo-2.JPEG; photos/13-10-2025-group-photo-3.JPEG; photos/13-10-2025-group-photo-4.JPEG; photos/13-10-2025-group-photo-5.JPEG; photos/13-10-2025-group-photo-6.JPEG; photos/13-10-2025-group-photo-7.JPEG; photos/13-10-2025-standings-photo-1.JPEG; photos/13-10-2025-standings-photo-2.JPEG; photos/13-10-2025-standings-photo-3.JPEG; photos/13-10-2025-standings-photo-4.JPEG; photos/13-10-2025-standings-photo-5.JPEG
6.10.2025,General Knowledge (2nd place),4,18,photos/06-10-2025-group-photo-1.jpeg; photos/06-10-2025-group-photo-2.jpeg; photos/06-10-2025-group-photo-3.jpeg; photos/06-10-2025-group-photo-4.jpeg; photos/06-10-2025-group-photo-5.jpeg; photos/06-10-2025-group-photo-6.jpeg; photos/06-10-2025-group-photo-7.jpeg; photos/06-10-2025-group-photo-8.jpeg; photos/06-10-2025-trophy-photo-1.JPEG; photos/06-10-2025-trophy-photo-2.JPEG; photos/06-10-2025-trophy-photo-3.JPEG
29.9.2025,General Knowledge (8th place),2,12,photos/29-09-2025-group-photo-1.JPEG; photos/29-09-2025-group-photo-2.JPEG; photos/29-09-2025-group-photo-3.JPEG; photos/29-09-2025-group-photo-4.JPEG; photos/29-09-2025-group-photo-5.JPEG; photos/29-09-2025-group-photo-6.JPEG
